year,state,demVotes,gopVotes,otherVotes,totalVotes,demShareTotal,gopShareTotal,demShareTwoParty,gopShareTwoParty,differenceTotal,differenceTwoParty
1976,AK,44058,71555,7961,123574,0.3565313091750692,0.5790457539611893,0.38108171226419174,0.6189182877358083,-0.1437771048628172,-0.12942244039698392
1980,AK,41842,86112,30491,158445,0.2640790179557575,0.5434819653507527,0.32700814355158886,0.6729918564484112,-0.14612028513794706,-0.11996935767863726
1984,AK,62007,138377,7221,207605,0.29867777751017555,0.666539823221984,0.30944087352283617,0.6905591264771639,-0.10678542857029116,-0.09880544824750853
1988,AK,72584,119251,8281,200116,0.362709628415519,0.595909372563913,0.37836682565746604,0.621633174342534,-0.09378696921192359,-0.08261773988241261
1992,AK,78294,102000,78212,258506,0.3028711132430195,0.3945749808515083,0.4342573796132983,0.5657426203867018,-0.12690324192292823,-0.10054251343696124
1996,AK,80380,122746,38494,241620,0.33267113649532326,0.5080125817399221,0.3957149749416618,0.6042850250583381,-0.15910173934930172,-0.15164865094543017
2000,AK,79004,167398,39158,285560,0.27666339823504693,0.5862095531587057,0.3206305143627081,0.6793694856372919,-0.2062813779170637,-0.18203030933075998
2004,AK,111025,190889,10684,312598,0.35516861912104364,0.6106532991253942,0.3677371701875368,0.6322628298124632,-0.12728623457874821,-0.11987108629984788
2008,AK,123594,193841,8762,326197,0.37889373599389325,0.5942451953880631,0.389352150834029,0.610647849165971,-0.14993638146233673,-0.14753628626545395
2012,AK,122640,164676,13179,300495,0.40812659112464433,0.5480157739729447,0.4268470951843963,0.5731529048156038,-0.10216968834638585,-0.09273595705489518
2016,AK,116454,163387,38767,318608,0.36550871290111986,0.5128151207753728,0.4161434528893193,0.5838565471106807,-0.11592251208634918,-0.09498892167659623
2020,AK,153778,189951,15801,359530,0.42771952271020497,0.5283314327038078,0.4473815127615069,0.5526184872384932,-0.0854654619066001,-0.0753257044580366
1976,AL,659170,504070,19610,1182850,0.5572726888447394,0.42614870862746757,0.5666672397785496,0.43333276022145045,0.056964274806852955,0.056163087117373944
1980,AL,636730,654192,51007,1341929,0.47448859067804633,0.4875012016284021,0.49323661692960535,0.5067633830703947,0.06428928758434177,0.04625911569937924
1984,AL,551899,872849,16965,1441713,0.38280781265064545,0.6054249354760621,0.38736604648681733,0.6126339535131827,-0.022655393429821258,-0.020880275283527372
1988,AL,549506,815576,13394,1378476,0.39863298309147205,0.5916504893810266,0.40254431601911095,0.5974556839808891,-0.05786361453597055,-0.058440249520767706
1992,AL,690080,804283,193697,1688060,0.4088006350485172,0.4764540359939813,0.46178873540097015,0.5382112645990298,-0.02097372011743054,-0.0730111576492894
1996,AL,662165,769044,103140,1534349,0.4315608769582409,0.5012184320516389,0.46266128846311055,0.5373387115368894,-0.060211998886384066,-0.08470233742398142
